,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
54,1,医药生物,中药Ⅱ,中药Ⅲ,600211,西藏药业,0.6506666666666666,0.19733333333333333
55,1,医药生物,中药Ⅱ,中药Ⅲ,002287,奇正藏药,0.6386666666666667,0.037333333333333336
56,1,医药生物,中药Ⅱ,中药Ⅲ,600993,马应龙,0.6326666666666667,0.08466666666666667
57,1,医药生物,中药Ⅱ,中药Ⅲ,000989,九芝堂,0.6273333333333333,0.14466666666666667
58,1,医药生物,中药Ⅱ,中药Ⅲ,002424,贵州百灵,0.6086666666666667,0.304
59,1,医药生物,中药Ⅱ,中药Ⅲ,600976,健民集团,0.5986666666666667,0.36133333333333334
60,1,医药生物,中药Ⅱ,中药Ⅲ,002275,桂林三金,0.5913333333333334,0.025333333333333333
61,1,医药生物,中药Ⅱ,中药Ⅲ,600285,羚锐制药,0.5506666666666666,0.11133333333333334
62,1,医药生物,中药Ⅱ,中药Ⅲ,603896,寿仙谷,0.5373333333333333,0.06
63,1,医药生物,中药Ⅱ,中药Ⅲ,000650,仁和药业,0.5306666666666666,0.24466666666666667
64,0,医药生物,中药Ⅱ,中药Ⅲ,002390,信邦制药,0.5233333333333333,0.256
65,0,医药生物,中药Ⅱ,中药Ⅲ,600252,中恒集团,0.518,0.128
66,1,医药生物,中药Ⅱ,中药Ⅲ,300181,佐力药业,0.514,0.09466666666666666
67,1,医药生物,中药Ⅱ,中药Ⅲ,300039,上海凯宝,0.4846666666666667,0.022
68,1,医药生物,中药Ⅱ,中药Ⅲ,002349,精华制药,0.484,0.03266666666666666
69,1,医药生物,中药Ⅱ,中药Ⅲ,603439,贵州三力,0.446,0.042666666666666665
70,1,医药生物,中药Ⅱ,中药Ⅲ,002907,华森制药,0.4126666666666667,0.12
71,0,医药生物,中药Ⅱ,中药Ⅲ,605199,葫芦娃,0.394,0.24066666666666667
72,1,医药生物,中药Ⅱ,中药Ⅲ,002644,佛慈制药,0.38866666666666666,0.19133333333333333
73,1,医药生物,中药Ⅱ,中药Ⅲ,603998,方盛制药,0.34933333333333333,0.19533333333333333
74,1,医药生物,中药Ⅱ,中药Ⅲ,600351,亚宝药业,0.3406666666666667,0.10866666666666666
75,1,医药生物,中药Ⅱ,中药Ⅲ,600479,千金药业,0.33866666666666667,0.04466666666666667
76,1,医药生物,中药Ⅱ,中药Ⅲ,002728,特一药业,0.3313333333333333,0.010666666666666666
77,1,医药生物,中药Ⅱ,中药Ⅲ,002082,万邦德,0.2786666666666667,0.268
78,0,医药生物,中药Ⅱ,中药Ⅲ,600594,益佰制药,0.262,0.058
79,1,医药生物,中药Ⅱ,中药Ⅲ,002864,盘龙药业,0.25466666666666665,0.046
80,0,医药生物,中药Ⅱ,中药Ⅲ,002198,嘉应制药,0.23266666666666666,0.274
81,0,医药生物,中药Ⅱ,中药Ⅲ,002750,龙津药业,0.208,0.05466666666666667
82,0,医药生物,中药Ⅱ,中药Ⅲ,002107,沃华医药,0.20533333333333334,0.16133333333333333
83,0,医药生物,中药Ⅱ,中药Ⅲ,300147,香雪制药,0.18933333333333333,0.12333333333333334
84,1,医药生物,中药Ⅱ,中药Ⅲ,002412,汉森制药,0.18333333333333332,0.25333333333333335
85,0,医药生物,中药Ⅱ,中药Ⅲ,300878,维康药业,0.174,0.22066666666666668
86,0,医药生物,中药Ⅱ,中药Ⅲ,600222,太龙药业,0.17333333333333334,0.22933333333333333
87,1,医药生物,中药Ⅱ,中药Ⅲ,002873,新天药业,0.164,0.23866666666666667
88,0,医药生物,中药Ⅱ,中药Ⅲ,301111,粤万年青,0.158,0.07466666666666667
89,0,医药生物,中药Ⅱ,中药Ⅲ,300534,陇神戎发,0.14333333333333334,0.03
90,1,医药生物,中药Ⅱ,中药Ⅲ,600080,金花股份,0.12866666666666668,0.07333333333333333
91,0,医药生物,中药Ⅱ,中药Ⅲ,301331,恩威医药,0.11666666666666667,0.08666666666666667
92,1,医药生物,中药Ⅱ,中药Ⅲ,002566,益盛药业,0.11533333333333333,0.26466666666666666
93,0,医药生物,中药Ⅱ,中药Ⅲ,300391,长药控股,0.10133333333333333,0.316
94,0,医药生物,中药Ⅱ,中药Ⅲ,300519,新光药业,0.1,0.11266666666666666
95,0,医药生物,中药Ⅱ,中药Ⅲ,603963,大理药业,0.08533333333333333,0.08733333333333333
96,0,医药生物,中药Ⅱ,中药Ⅲ,000590,启迪药业,0.066,0.16666666666666666
97,0,医药生物,中药Ⅱ,中药Ⅲ,603139,康惠制药,0.04466666666666667,0.14533333333333334
